"NEWPORT PAGNELL (WOLVERTON ROAD)",,,,,,,,,,,,
Grid ref,SP870436,Long,-0.731762,Lat,52.083928,,,,,,,
Station no,1028,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.64,1.59,1.14,0.90,2.13,3.86,1.31,2.63,4.35,3.03,,
February,3.51,0.43,1.61,2.06,1.51,0.44,2.75,2.60,0.06,2.18,,
March,3.62,2.92,0.65,2.49,1.62,0.94,1.67,1.57,2.68,1.63,,
April,2.88,1.84,2.23,0.38,0.57,0.85,0.29,0.60,2.04,0.52,,
May,2.40,2.54,1.89,2.83,3.84,0.43,1.55,1.83,0.45,1.29,,
June,1.30,1.40,1.56,2.75,2.20,2.61,1.93,5.36,0.76,3.46,,
July,1.25,0.37,2.63,2.64,0.16,4.82,3.30,2.77,2.26,2.88,,
August,2.79,2.52,3.45,3.64,0.56,3.57,2.35,1.82,1.25,3.50,,
September,1.57,2.63,1.23,1.94,1.14,1.78,3.17,2.21,0.04,3.53,,
October,1.05,3.41,2.54,2.08,1.55,1.97,1.70,2.65,1.95,4.68,,
November,4.51,2.82,1.30,4.21,1.47,0.81,1.73,1.96,1.88,3.61,,
December,1.66,2.17,0.54,2.11,2.05,3.33,2.56,2.58,3.93,3.20,,
Total,29.18,24.64,20.77,28.03,18.80,25.41,24.31,28.58,21.65,33.51,,
Calc annual,29.18,24.64,20.77,28.03,18.80,25.41,24.31,28.58,21.65,33.51,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
