"FAVERSHAM (WATERWORKS)",,,,,,,,,,,,
Grid ref,TR013595,Long,0.886158,Lat,51.299025,,,,,,,
Station no,311/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.83,1.99,0.93,1.46,2.91,3.98,1.28,2.59,2.00,2.52,,
February,5.33,1.01,1.03,1.74,1.45,0.79,3.16,1.76,0.03,2.01,,
March,2.65,2.59,0.17,1.98,1.15,0.35,0.90,1.63,1.89,1.70,,
April,1.80,0.71,1.23,0.14,0.20,0.78,0.18,1.43,2.32,0.69,,
May,2.04,0.79,1.61,1.55,3.30,0.74,1.02,1.80,0.94,1.79,,
June,0.99,1.51,2.50,2.70,1.72,2.35,1.20,4.41,1.40,1.08,,
July,1.30,0.63,2.38,1.88,1.42,2.49,2.75,1.85,1.97,2.40,,
August,2.91,2.46,1.30,3.15,2.60,5.62,1.83,3.29,1.09,5.02,,
September,3.67,4.15,3.57,1.14,1.37,1.87,2.58,2.48,0.15,2.38,,
October,1.07,1.57,2.12,1.88,4.29,1.06,0.85,4.19,2.28,5.76,,
November,3.79,4.02,1.48,5.01,0.73,0.61,3.23,1.73,4.24,4.68,,
December,2.43,2.34,0.70,1.42,1.71,3.17,1.91,3.15,5.13,3.26,,
Total,30.81,23.77,19.02,24.05,22.85,23.81,20.89,30.31,23.44,33.29,,
Calc annual,30.81,23.77,19.02,24.05,22.85,23.81,20.89,30.31,23.44,33.29,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
