"SKINNINGROVE (IRON WORKS)",,,,,,,,,,,,
Grid ref,NZ711199,Long,-0.901788,Lat,54.569334,,,,,,,
Station no,3479/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,1.60,1.98,4.41,,
February,,,,,,,,1.72,0.41,1.45,,
March,,,,,,,,1.54,0.50,1.31,,
April,,,,,,,,0.96,1.99,0.46,,
May,,,,,,,,2.05,0.55,1.08,,
June,,,,,,,,2.39,1.86,0.36,,
July,,,,,,,,1.81,2.53,4.39,,
August,,,,,,,,1.50,0.30,2.08,,
September,,,,,,,,1.11,0.82,2.32,,
October,,,,,,,,0.79,1.44,6.59,,
November,,,,,,,,0.49,3.79,3.64,,
December,,,,,,,,2.89,3.91,2.34,,
Total,,,,,,,,18.85,20.08,30.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.85,20.08,30.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
