"FELSTED SUGAR FACTORY",,,,,,,,,,,,
Grid ref,TL664211,Long,0.415229,Lat,51.863668,,,,,,,
Station no,1303/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.88,1.06,1.92,3.09,1.03,1.78,2.10,1.58,,
February,,,1.12,1.97,1.56,0.47,2.50,3.08,0.03,1.77,,
March,,,0.42,1.99,1.21,0.75,1.11,0.82,1.65,1.25,,
April,,,2.16,0.25,0.16,1.06,0.14,0.95,2.44,0.48,,
May,,,1.71,2.15,4.36,0.49,0.82,2.43,0.84,1.67,,
June,,,2.45,2.35,2.94,1.69,1.87,4.97,0.59,1.61,,
July,,,2.95,2.41,0.69,3.34,2.97,2.85,1.67,2.95,,
August,,,1.61,2.65,1.11,4.23,2.43,3.35,0.78,4.17,,
September,,,1.92,1.15,1.89,3.08,2.34,3.53,0.00,4.96,,
October,,,3.27,1.70,3.62,2.37,2.02,2.21,1.72,5.07,,
November,,,1.12,3.39,0.58,0.59,2.46,1.58,2.39,3.26,,
December,,,0.74,1.65,1.87,2.14,2.10,2.40,4.00,2.61,,
Total,,,20.35,22.72,21.91,23.30,21.79,29.95,18.21,31.38,,
Calc annual,0.00,0.00,20.35,22.72,21.91,23.30,21.79,29.95,18.21,31.38,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
