"DENSHAW (OX HEY)",,,,,,,,,,,,
Grid ref,SD985104,Long,-2.024133,Lat,53.590178,,,,,,,
Station no,3104,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.05,4.60,2.03,4.55,3.28,5.34,5.11,4.85,4.79,7.19,,
February,3.10,1.36,2.07,3.64,3.03,2.49,3.76,7.07,0.55,3.66,,
March,5.54,3.26,2.65,3.49,3.01,1.76,4.54,3.05,2.48,1.71,,
April,3.15,4.04,3.81,0.93,2.69,3.19,0.64,1.73,4.77,2.86,,
May,2.91,2.70,2.97,3.88,4.67,2.42,1.64,5.06,2.65,2.25,,
June,0.93,3.71,3.22,4.09,3.65,3.89,2.55,5.96,2.90,2.22,,
July,4.77,3.33,8.15,6.52,1.37,6.98,5.00,4.96,4.57,9.10,,
August,6.76,4.66,6.42,7.34,0.82,13.33,6.10,5.57,0.81,6.90,,
September,3.63,3.98,3.49,6.60,3.19,4.72,6.88,6.54,0.47,3.83,,
October,1.47,6.58,2.66,9.25,2.42,3.62,7.12,4.79,4.92,5.96,,
November,9.60,2.71,5.33,7.03,2.38,2.07,3.39,1.94,5.14,8.02,,
December,8.47,4.45,2.12,7.04,6.44,5.16,5.08,5.01,7.61,5.53,,
Total,55.38,45.38,44.92,64.36,36.95,54.97,51.81,56.53,41.66,59.23,,
Calc annual,55.38,45.38,44.92,64.36,36.95,54.97,51.81,56.53,41.66,59.23,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
