"AUCHLYNE WEST (NEW SITE)",,,,,,,,,,,,
Grid ref,NN485306,Long,-4.459152,Lat,56.443168,,,,,,,
Station no,5555/7/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,10.23,3.36,6.13,,
February,,,,,,,,4.50,4.82,8.52,,
March,,,,,,,,4.12,6.82,2.80,,
April,,,,,,,,4.75,6.98,9.19,,
May,,,,,,,,5.84,3.10,5.28,,
June,,,,,,,,4.62,5.22,3.75,,
July,,,,,,,,5.59,7.55,3.83,,
August,,,,,,,,7.30,7.22,5.45,,
September,,,,,,,,7.47,2.14,5.06,,
October,,,,,,,,8.77,9.79,7.22,,
November,,,,,,,,2.34,10.47,9.27,,
December,,,,,,,12.81,9.31,13.41,7.80,,
Total,,,,,,,,74.84,80.88,74.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,12.81,74.84,80.88,74.30,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
