"DUNSTABLE",,,,,,,,,,,,
Grid ref,TL006218,Long,-0.539739,Lat,51.885693,,,,,,,
Station no,1162/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.64,1.86,1.32,1.02,1.76,3.37,0.94,2.33,2.92,2.34,,
February,4.53,0.63,1.67,2.04,1.53,0.29,2.48,2.12,0.05,2.22,,
March,3.43,2.93,0.71,2.16,0.98,0.92,1.00,1.63,2.20,1.26,,
April,2.74,2.08,2.00,0.26,0.56,1.07,0.18,0.87,2.09,0.69,,
May,2.78,2.08,1.52,2.94,4.65,0.46,1.07,2.02,0.69,1.77,,
June,1.04,0.68,2.11,3.24,2.07,2.26,1.28,4.19,1.38,2.89,,
July,2.00,0.46,3.54,3.45,0.47,3.72,2.34,2.14,2.74,,,
August,3.40,3.29,1.99,3.50,0.47,4.95,2.29,2.71,1.02,,,
September,2.39,3.37,1.48,1.56,1.38,2.02,2.55,3.31,0.17,,,
October,1.45,3.18,2.05,1.81,2.47,1.63,2.64,2.30,1.94,,,
November,4.49,3.45,1.22,4.88,1.05,0.86,1.95,1.96,2.25,,,
December,1.74,2.37,0.65,2.40,2.17,3.19,2.47,2.45,3.69,,,
Total,32.63,26.38,20.26,29.26,19.56,24.74,21.19,28.03,21.14,,,
Calc annual,32.63,26.38,20.26,29.26,19.56,24.74,21.19,28.03,21.14,11.17,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,,
