"SOTTERLEY HALL",,,,,,,,,,,,
Grid ref,TM461852,Long,1.617000,Lat,52.409404,,,,,,,
Station no,1373,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.80,1.66,2.01,2.34,4.18,,
February,,,,,,1.94,2.18,3.24,0.14,1.53,,
March,,,,,,0.61,1.58,1.30,0.64,1.15,,
April,,,,,,0.84,0.32,1.15,1.69,0.64,,
May,,,,,,0.83,1.38,3.34,0.29,0.22,,
June,,,,,,2.14,3.21,2.20,0.83,1.14,,
July,,,,,,2.44,3.00,2.22,1.50,3.13,,
August,,,,,3.69,3.62,3.16,2.71,1.76,3.35,,
September,,,,,1.38,1.33,3.33,2.42,0.15,3.78,,
October,,,,,4.37,3.26,1.52,2.65,2.28,7.33,,
November,,,,,0.55,1.18,2.06,1.05,2.85,3.05,,
December,,,,,1.49,1.14,1.90,3.06,2.86,3.38,,
Total,,,,,11.48,23.13,25.30,27.35,17.33,32.88,,
Calc annual,0.00,0.00,0.00,0.00,11.48,23.13,25.30,27.35,17.33,32.88,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,0.00,,
