"TIREE AIRPORT",,,,,,,,,,,,
Grid ref,NL999446,Long,-6.878340,Lat,56.497469,,,,,,,
Station no,5456,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.65,5.27,3.03,6.24,3.37,3.79,5.83,5.73,2.08,2.76,,
February,4.02,1.95,3.26,3.73,3.02,2.16,3.21,3.48,1.19,3.33,,
March,3.01,4.71,1.33,4.65,0.88,1.42,4.69,0.75,3.44,2.28,,
April,2.78,2.03,2.84,1.41,2.87,2.36,1.78,2.10,3.08,2.86,,
May,0.70,1.39,2.30,4.09,1.97,2.99,2.76,2.70,0.68,2.00,,
June,1.71,3.48,1.46,3.48,3.39,2.47,2.37,3.29,2.69,2.93,,
July,3.28,2.81,4.52,3.02,0.39,4.12,5.06,1.82,5.28,3.42,,
August,4.11,3.53,4.63,3.20,1.31,7.59,3.69,3.12,1.40,2.76,,
September,3.78,3.45,5.63,8.52,6.43,4.22,2.94,4.19,2.12,3.70,,
October,3.87,4.56,4.45,5.50,6.52,4.03,4.93,4.05,5.85,2.05,,
November,6.96,2.06,7.97,8.86,1.78,3.64,2.36,2.67,5.30,6.22,,
December,7.28,5.18,4.64,5.55,6.29,6.39,5.52,4.60,6.89,5.94,,
Total,50.15,40.42,46.06,58.25,38.22,45.18,45.14,38.50,40.00,40.25,,
Calc annual,50.15,40.42,46.06,58.25,38.22,45.18,45.14,38.50,40.00,40.25,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
