"NETHER MOOR NO. 93",,,,,,,,,,,,
Grid ref,SK143875,Long,-1.786476,Lat,53.384155,,,,,,,
Station no,2690/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.25,6.52,3.18,6.10,3.55,8.90,4.85,6.85,5.03,8.19,,
February,5.50,4.52,3.10,4.06,3.60,2.18,3.75,8.85,0.86,3.72,,
March,7.73,3.20,3.90,4.62,4.10,2.70,3.75,3.08,2.30,2.29,,
April,3.00,3.22,3.50,0.91,2.49,2.10,0.50,1.79,3.85,3.89,,
May,3.06,4.02,2.64,3.65,5.51,1.50,1.60,4.30,1.32,2.37,,
June,2.03,3.32,4.18,3.80,4.30,4.85,1.40,4.75,2.80,1.64,,
July,3.46,3.20,6.05,8.40,0.85,10.00,5.55,6.50,4.00,6.51,,
August,5.60,3.18,5.75,8.60,0.75,12.00,9.30,3.56,0.43,4.73,,
September,3.48,8.46,3.75,7.30,2.87,4.87,9.00,6.02,0.19,5.02,,
October,1.28,8.35,2.65,8.95,4.68,4.57,4.50,4.51,3.94,6.72,,
November,11.94,4.59,3.52,9.25,3.20,2.75,3.40,1.78,5.32,6.85,,
December,7.51,6.06,2.98,10.25,8.00,7.20,7.25,5.10,9.34,5.25,,
Total,61.84,58.64,45.20,75.89,43.90,63.62,54.85,57.09,39.38,57.18,,
Calc annual,61.84,58.64,45.20,75.89,43.90,63.62,54.85,57.09,39.38,57.18,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
