"LOCH NESS (ABERCHALDER)",,,,,,,,,,,,
Grid ref,NH552201,Long,-4.401507,Lat,57.248600,,,,,,,
Station no,5706/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.21,3.73,4.22,,
February,,,,,,,,2.21,1.26,3.62,,
March,,,,,,,3.64,2.62,1.23,0.63,,
April,,,,,,,1.08,2.18,3.10,2.31,,
May,,,,,,,1.09,3.01,1.86,0.73,,
June,,,,,,,1.86,1.54,2.79,2.24,,
July,,,,,,,5.20,3.76,2.74,2.46,,
August,,,,,,,5.54,4.99,2.31,6.71,,
September,,,,,,,2.63,2.56,0.56,2.56,,
October,,,,,,,3.64,4.23,4.39,2.17,,
November,,,,,,,2.27,1.07,5.17,2.33,,
December,,,,,,,4.75,4.07,4.08,4.62,,
Total,,,,,,,,35.45,33.22,34.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,31.70,35.45,33.22,34.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
