"LONG SUTTON",,,,,,,,,,,,
Grid ref,SU748467,Long,-0.930463,Lat,51.214613,,,,,,,
Station no,748,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.98,2.66,0.81,1.35,3.41,4.01,2.07,3.61,3.35,3.67,,
February,6.38,0.91,1.41,2.93,1.46,0.17,4.08,2.76,0.19,2.79,,
March,4.72,2.91,0.73,2.77,1.29,0.76,1.74,1.47,3.49,1.98,,
April,3.28,1.82,2.51,0.26,0.31,0.84,0.23,0.68,2.77,0.78,,
May,2.99,3.06,2.18,2.28,3.23,0.28,1.02,2.49,1.20,1.71,,
June,1.11,1.66,2.01,2.67,3.11,2.33,0.80,2.80,1.02,1.52,,
July,3.62,0.80,3.27,2.39,1.07,5.26,4.20,1.78,3.11,3.55,,
August,4.97,3.67,1.82,3.38,1.13,3.97,2.30,3.76,2.87,4.36,,
September,3.11,2.95,2.26,2.56,1.85,4.41,2.39,4.27,0.08,3.71,,
October,0.84,4.04,4.06,2.80,4.85,1.18,2.30,3.06,2.96,8.91,,
November,8.67,3.73,1.33,5.11,3.13,0.65,3.08,2.83,3.35,4.59,,
December,2.88,2.21,0.78,2.63,3.59,4.91,3.11,2.96,6.28,4.49,,
Total,46.55,30.42,23.17,31.13,28.43,28.77,27.32,32.47,30.67,42.06,,
Calc annual,46.55,30.42,23.17,31.13,28.43,28.77,27.32,32.47,30.67,42.06,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
