"BLAIR ATHOLL (BLAIR CASTLE GDNS)",,,,,,,,,,,,
Grid ref,NN864658,Long,-3.860260,Lat,56.769889,,,,,,,
Station no,5564,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.75,3.35,1.35,3.23,1.43,2.34,5.11,2.97,2.17,2.67,,
February,2.89,1.19,1.02,2.88,2.47,2.12,3.62,2.33,0.77,3.52,,
March,1.46,2.13,1.11,2.13,0.67,2.28,3.41,1.21,2.75,1.51,,
April,2.13,1.41,1.67,0.88,0.91,0.75,0.88,0.96,2.79,3.53,,
May,1.77,2.71,2.45,4.39,2.25,1.71,1.91,2.90,0.92,1.92,,
June,1.68,2.65,2.61,1.58,1.24,2.49,1.37,2.74,1.86,1.98,,
July,2.61,1.81,2.44,2.51,0.50,4.06,4.10,3.91,4.23,2.12,,
August,4.71,2.38,1.54,3.74,1.19,5.36,2.92,4.86,1.23,2.95,,
September,2.56,0.98,3.39,3.35,1.81,5.90,2.17,4.97,1.21,2.79,,
October,1.19,3.90,2.27,5.13,3.46,2.69,2.17,2.80,5.13,3.50,,
November,8.52,2.20,3.43,8.11,1.98,1.43,0.66,0.87,4.63,3.68,,
December,4.18,2.37,4.09,5.32,6.24,5.69,3.45,4.23,6.58,3.92,,
Total,36.45,27.08,27.37,43.25,24.15,36.82,31.77,34.75,34.27,34.09,,
Calc annual,36.45,27.08,27.37,43.25,24.15,36.82,31.77,34.75,34.27,34.09,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
