"CHIPPENHAM (WATERWORKS)",,,,,,,,,,,,
Grid ref,ST917728,Long,-2.120842,Lat,51.454119,,,,,,,
Station no,1493/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.78,2.68,0.55,1.91,3.00,4.12,2.33,2.96,4.30,3.78,,
February,4.13,0.58,1.67,2.86,1.49,0.13,2.60,3.69,0.31,2.38,,
March,3.67,3.20,0.63,2.80,1.34,0.56,2.71,1.37,3.47,1.62,,
April,2.96,1.55,2.34,0.29,0.87,1.39,0.31,1.08,2.62,1.22,,
May,1.92,3.63,2.14,2.16,5.27,0.60,1.76,2.58,1.76,1.51,,
June,1.41,2.23,1.86,4.64,2.98,1.63,1.49,3.71,1.02,2.29,,
July,1.17,0.44,3.25,2.22,0.18,2.79,4.18,2.92,2.37,3.99,,
August,5.45,6.10,2.94,2.66,0.44,5.18,2.72,2.66,1.72,3.77,,
September,2.46,2.56,3.53,2.64,0.87,3.63,3.58,4.17,0.17,3.88,,
October,0.58,4.01,2.22,2.48,1.46,1.99,2.65,2.89,2.07,5.60,,
November,5.92,4.45,1.35,5.48,2.72,0.74,1.75,2.55,2.62,4.46,,
December,2.02,2.51,0.81,2.07,2.94,4.62,2.22,3.25,5.85,4.88,,
Total,34.47,33.94,23.29,32.21,23.56,27.38,28.30,33.83,28.28,39.38,,
Calc annual,34.47,33.94,23.29,32.21,23.56,27.38,28.30,33.83,28.28,39.38,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
