"SHORNE RESERVOIR",,,,,,,,,,,,
Grid ref,TQ703707,Long,0.447311,Lat,51.409751,,,,,,,
Station no,373/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.13,2.40,,
February,,,,,,,,,0.08,1.86,,
March,,,,,,,,,2.01,1.37,,
April,,,,,,,,,2.24,0.57,,
May,,,,,,,,,0.67,2.48,,
June,,,,,,,,,0.59,1.05,,
July,,,,,,,,,1.38,2.80,,
August,,,,,,,,,1.11,3.09,,
September,,,,,,,,,0.05,3.38,,
October,,,,,,,,,2.42,5.77,,
November,,,,,,,,,3.41,3.62,,
December,,,,,,,,,4.22,2.35,,
Total,,,,,,,,,20.31,30.74,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.31,30.74,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
