"BUXTON (BURBAGE EDGE)",,,,,,,,,,,,
Grid ref,SK035728,Long,-1.949001,Lat,53.252201,,,,,,,
Station no,2679,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.35,6.41,2.81,5.18,3.37,7.73,3.98,5.61,4.75,6.97,,
February,4.81,2.90,1.43,4.62,2.93,1.20,3.39,9.00,0.91,4.64,,
March,8.30,3.61,3.29,3.59,3.26,2.65,5.12,2.21,3.22,1.83,,
April,3.63,4.86,4.48,1.27,3.77,2.52,0.52,2.21,3.57,3.00,,
May,2.55,2.46,2.66,3.89,4.97,1.44,2.89,4.95,0.92,2.22,,
June,2.50,4.04,4.55,4.64,4.28,4.10,2.78,7.84,1.78,3.36,,
July,3.71,4.39,6.64,7.16,1.22,7.56,6.99,6.24,3.42,10.92,,
August,6.18,2.87,5.72,6.06,1.19,12.26,7.38,4.91,2.47,5.42,,
September,3.07,5.53,4.14,7.33,3.48,4.71,11.58,6.34,0.21,5.23,,
October,1.49,4.89,2.61,9.23,4.07,3.94,4.49,5.95,4.63,6.87,,
November,12.25,3.83,3.49,8.05,3.65,2.78,2.11,2.05,5.24,7.51,,
December,7.11,4.96,2.56,8.94,6.15,6.21,6.88,5.78,9.31,6.16,,
Total,59.95,50.75,44.38,69.96,42.34,57.10,58.11,63.09,40.43,64.13,,
Calc annual,59.95,50.75,44.38,69.96,42.34,57.10,58.11,63.09,40.43,64.13,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
