"TURRIFF (MUIRESK HOUSE)",,,,,,,,,,,,
Grid ref,NJ704496,Long,-2.496027,Lat,57.535564,,,,,,,
Station no,5662/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.61,1.41,3.92,1.68,4.35,5.17,3.88,,
February,,,,2.36,3.08,1.98,1.52,3.82,0.40,2.61,,
March,,,,1.69,1.92,1.30,2.05,2.54,1.39,1.81,,
April,,,,0.70,1.18,1.79,1.31,1.31,2.13,1.80,,
May,,,,4.54,3.47,0.63,1.91,2.39,0.92,1.02,,
June,,,,3.57,1.49,3.25,4.99,2.04,1.79,1.71,,
July,,,,2.84,0.36,4.95,5.60,5.59,2.62,2.99,,
August,,,,2.37,1.06,4.03,4.43,2.98,1.23,5.60,,
September,,,,2.28,1.86,2.36,3.22,2.06,1.08,2.46,,
October,,,,4.97,5.99,3.54,1.83,2.05,4.90,5.61,,
November,,,,4.45,1.38,1.90,2.03,1.33,5.71,3.36,,
December,,,,4.83,5.77,3.30,4.35,2.84,3.03,1.82,,
Total,,,,36.21,28.97,32.95,34.92,33.30,30.37,34.67,,
Calc annual,0.00,0.00,0.00,36.21,28.97,32.95,34.92,33.30,30.37,34.67,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
