"EARLS COLNE (GRAMMAR SCHOOL)",,,,,,,,,,,,
Grid ref,TL858288,Long,0.700801,Lat,51.926703,,,,,,,
Station no,1322,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.86,2.15,0.82,1.57,2.32,3.27,1.17,2.05,1.65,2.00,,
February,4.51,0.61,1.08,1.93,1.87,0.59,2.05,2.86,0.10,1.35,,
March,2.88,2.95,0.34,2.34,1.21,0.90,1.50,0.77,1.52,1.50,,
April,2.53,1.17,1.98,0.27,0.14,1.03,0.14,0.91,1.87,0.45,,
May,2.46,0.78,1.57,1.94,2.98,0.52,0.99,1.96,0.36,1.36,,
June,1.07,1.40,2.59,2.27,1.88,1.91,1.63,4.77,1.03,1.31,,
July,2.12,0.65,2.57,2.55,0.30,2.90,2.76,3.37,2.43,4.34,,
August,2.41,2.62,1.38,2.96,1.46,3.97,2.29,3.68,0.51,2.60,,
September,2.89,3.01,2.25,1.52,2.11,1.52,2.83,3.60,0.00,3.28,,
October,0.82,2.22,2.44,1.88,4.01,1.93,1.91,2.11,1.63,5.70,,
November,3.52,4.19,0.99,3.57,0.89,0.63,2.74,1.27,2.21,3.39,,
December,1.79,2.31,0.76,1.85,1.64,2.08,1.89,2.85,3.59,2.55,,
Total,28.86,24.06,18.77,24.65,20.81,21.25,21.80,30.20,16.90,29.83,,
Calc annual,28.86,24.06,18.77,24.65,20.81,21.25,21.90,30.20,16.90,29.83,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.10,-0.00,-0.00,-0.00,,
