"PULBOROUGH (BIGNOR PARK)",,,,,,,,,,,,
Grid ref,SU990155,Long,-0.592621,Lat,50.930466,,,,,,,
Station no,451/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.23,3.72,1.32,2.03,5.01,6.04,4.29,5.00,4.40,3.87,,
February,7.70,1.08,2.06,3.28,2.45,0.26,5.53,3.35,0.12,4.19,,
March,5.91,3.67,0.47,4.25,1.46,0.59,2.43,2.82,2.77,2.02,,
April,3.04,2.85,2.57,0.29,0.52,1.66,0.38,0.87,2.65,1.29,,
May,3.18,2.48,2.45,2.86,4.93,0.40,1.32,3.73,1.03,1.53,,
June,2.03,1.95,2.15,4.83,2.89,2.91,2.33,3.71,0.97,2.47,,
July,2.91,0.82,5.03,3.78,0.62,3.96,5.43,2.11,1.02,5.61,,
August,6.75,2.79,2.37,3.12,1.47,4.96,4.93,3.77,1.95,5.64,,
September,3.79,3.84,4.69,3.86,2.76,5.87,4.73,5.07,0.09,5.13,,
October,2.10,4.93,3.70,4.30,3.88,2.09,2.61,4.43,3.82,9.14,,
November,8.34,4.44,2.07,7.28,2.64,0.93,3.01,2.60,5.11,8.52,,
December,4.46,3.32,1.06,3.41,5.46,6.95,3.44,5.51,10.25,5.09,,
Total,55.44,35.89,29.94,43.29,34.09,36.62,40.43,42.97,34.18,54.50,,
Calc annual,55.44,35.89,29.94,43.29,34.09,36.62,40.43,42.97,34.18,54.50,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
