"CORBY (STANION LANE)",,,,,,,,,,,,
Grid ref,SP901885,Long,-0.674547,Lat,52.486988,,,,,,,
Station no,1136/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.09,1.62,0.85,0.94,2.10,3.45,0.83,2.43,3.39,3.92,,
February,3.44,0.40,1.61,2.35,1.89,0.50,2.51,2.89,0.07,1.53,,
March,3.13,2.31,0.82,2.64,2.41,1.04,1.95,1.60,1.88,1.85,,
April,2.20,1.58,1.90,0.35,0.90,0.78,0.22,0.60,1.87,0.53,,
May,3.23,2.02,1.63,2.65,3.45,0.57,1.34,2.40,0.38,1.19,,
June,1.08,0.93,1.96,2.22,2.70,2.12,1.53,5.20,0.69,2.69,,
July,0.50,0.35,1.95,2.25,0.18,4.00,2.55,2.27,1.69,2.79,,
August,3.85,3.43,2.69,4.30,0.76,4.41,2.92,2.52,0.91,3.04,,
September,1.45,1.58,1.32,2.51,1.04,1.93,5.64,1.40,0.02,3.46,,
October,0.89,2.90,1.79,2.77,2.00,1.14,1.10,1.79,1.61,4.76,,
November,4.44,2.30,1.72,5.15,1.22,0.71,1.68,1.49,1.93,3.11,,
December,1.79,2.28,0.73,2.98,1.74,2.64,2.32,2.05,4.14,3.17,,
Total,28.09,21.70,18.97,31.11,20.39,23.29,24.59,26.64,18.58,32.04,,
Calc annual,28.09,21.70,18.97,31.11,20.39,23.29,24.59,26.64,18.58,32.04,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
