"ST HELIER (ST LOUIS OBSERVATORY) (+A)",,,,,,,,,,,,
Grid ref,WV661494,Long,-2.092815,Lat,49.192860,,,,,,,
Station no,4426,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.88,4.96,0.81,2.95,3.57,5.71,1.99,5.93,4.93,3.26,,
February,3.66,1.46,1.47,2.55,3.77,0.67,6.71,4.28,0.12,3.51,,
March,3.36,4.02,0.28,3.16,1.56,0.80,1.87,3.22,1.85,2.56,,
April,2.03,1.75,3.24,0.93,0.32,0.89,0.82,0.69,3.57,1.48,,
May,3.63,0.93,1.56,1.26,2.33,1.17,0.93,3.28,1.86,2.50,,
June,1.56,0.37,1.16,1.78,2.11,1.71,1.00,3.23,0.55,1.67,,
July,1.38,1.09,2.41,2.40,1.51,1.94,2.02,1.06,0.79,3.70,,
August,5.11,3.18,1.48,3.27,0.67,5.66,2.76,3.98,1.79,3.82,,
September,4.62,8.01,2.24,3.98,2.95,2.11,3.11,2.09,0.59,2.53,,
October,0.90,5.06,1.98,2.60,3.65,2.31,1.28,4.41,3.65,6.34,,
November,6.54,5.10,2.00,4.35,1.25,1.32,3.16,3.56,4.64,5.51,,
December,4.43,6.32,1.11,3.36,4.63,4.38,3.29,3.84,7.18,6.67,,
Total,40.10,42.25,19.74,32.59,28.32,28.67,28.94,39.57,31.52,43.55,,
Calc annual,40.10,42.25,19.74,32.59,28.32,28.67,28.94,39.57,31.52,43.55,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
