"FELSTED SCHOOL",,,,,,,,,,,,
Grid ref,TL676205,Long,0.432349,Lat,51.857919,,,,,,,
Station no,1303,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.08,2.34,1.05,1.11,2.48,3.44,1.31,1.92,2.25,2.12,,
February,5.14,0.67,1.28,2.02,1.79,0.54,2.19,3.09,0.15,1.68,,
March,2.84,3.25,0.39,2.12,1.21,0.87,1.19,0.83,1.66,1.16,,
April,2.69,0.96,2.33,0.22,0.18,1.14,0.15,1.00,2.58,0.50,,
May,2.37,0.73,1.63,2.21,4.66,0.55,0.95,2.63,0.69,1.68,,
June,0.96,1.17,1.75,2.88,3.30,1.64,1.94,4.98,0.64,1.66,,
July,1.01,0.65,3.30,2.41,0.44,4.27,3.24,2.93,1.48,2.89,,
August,2.97,2.06,1.66,2.92,1.07,4.79,2.19,3.61,0.76,4.54,,
September,4.28,2.55,2.09,1.17,1.87,2.66,2.50,3.74,0.00,4.93,,
October,0.67,2.17,3.26,1.82,3.81,2.41,1.90,2.42,1.66,5.56,,
November,3.83,3.95,1.19,3.34,0.63,0.47,2.75,1.65,2.63,3.60,,
December,2.03,2.17,0.74,1.79,1.73,2.39,1.99,3.16,4.75,2.68,,
Total,30.87,22.67,20.67,24.01,23.17,25.17,22.30,31.96,19.25,33.00,,
Calc annual,30.87,22.67,20.67,24.01,23.17,25.17,22.30,31.96,19.25,33.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
