"SPARHAM HALL",,,,,,,,,,,,
Grid ref,TG072187,Long,1.066941,Lat,52.726238,,,,,,,
Station no,1424/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.47,1.74,1.82,2.64,1.86,1.90,3.12,3.74,,
February,,,1.73,2.17,2.07,1.46,2.60,3.64,0.17,1.81,,
March,,,1.45,2.46,1.66,0.84,1.98,1.23,1.25,0.92,,
April,,,2.18,0.36,0.40,0.95,0.43,0.92,1.83,0.69,,
May,,,1.38,1.68,2.61,0.67,1.14,2.99,0.34,0.53,,
June,,,2.56,1.99,2.21,2.18,2.19,2.42,0.91,1.30,,
July,,,1.98,2.37,0.21,2.57,3.00,3.48,2.07,2.54,,
August,,,2.06,4.00,0.71,4.21,2.43,2.47,1.30,2.51,,
September,,,1.29,2.22,1.92,1.46,3.71,2.55,0.06,3.38,,
October,,,2.15,2.05,3.78,2.87,1.23,1.67,1.96,3.93,,
November,,,1.41,3.88,0.98,1.39,1.38,1.50,2.13,3.77,,
December,,,1.08,2.30,1.65,1.92,2.32,2.74,3.32,3.76,,
Total,,,20.74,27.22,20.02,23.16,24.27,27.51,18.46,28.88,,
Calc annual,0.00,0.00,20.74,27.22,20.02,23.16,24.27,27.51,18.46,28.88,,
Difference,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
