"CHESHUNT YARD",,,,,,,,,,,,
Grid ref,TL353035,Long,-0.042977,Lat,51.713921,,,,,,,
Station no,940,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.48,1.85,1.02,0.98,2.10,3.49,1.11,2.47,2.09,1.92,,
February,5.14,0.57,1.76,2.31,1.64,0.39,3.03,2.40,0.04,1.80,,
March,3.09,2.77,0.61,2.58,1.13,0.84,1.10,0.96,1.86,1.07,,
April,3.03,1.40,2.56,0.24,0.35,0.97,0.16,1.06,2.11,0.44,,
May,2.15,1.44,1.36,1.88,4.26,0.68,0.66,2.68,0.75,1.63,,
June,0.57,1.11,2.00,2.89,2.16,3.20,1.47,5.77,1.02,1.19,,
July,0.72,0.66,2.94,2.84,0.17,3.92,2.71,2.55,1.66,3.34,,
August,6.05,3.16,1.73,3.80,1.71,3.73,1.53,3.01,1.46,2.52,,
September,3.35,3.34,1.75,1.53,1.43,2.34,3.08,3.73,0.04,4.40,,
October,0.73,2.18,2.98,2.16,3.77,1.91,1.72,2.38,1.82,5.28,,
November,4.51,3.16,1.10,3.87,0.87,0.52,2.28,1.74,2.42,3.57,,
December,1.52,2.49,0.52,1.60,1.71,2.96,1.97,2.76,3.50,2.75,,
Total,33.34,24.13,20.33,26.68,21.30,24.95,20.82,31.51,18.77,29.91,,
Calc annual,33.34,24.13,20.33,26.68,21.30,24.95,20.82,31.51,18.77,29.91,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
