"SLAIDBURN (BRENNAND)",,,,,,,,,,,,
Grid ref,SD632547,Long,-2.562708,Lat,53.987029,,,,,,,
Station no,3082,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.52,8.46,4.18,6.44,4.86,5.23,5.96,5.68,3.44,5.35,,
February,5.50,3.70,3.52,5.13,2.70,1.51,5.02,10.73,1.56,4.54,,
March,7.17,4.44,1.54,4.40,2.31,1.71,4.20,2.13,2.81,1.71,,
April,4.03,5.03,4.81,2.02,4.27,2.30,0.52,1.85,2.77,5.15,,
May,3.18,4.01,3.67,4.41,7.17,3.63,2.95,5.89,2.41,2.19,,
June,1.62,5.66,3.87,6.68,4.92,4.17,1.97,4.01,4.18,2.60,,
July,6.47,5.31,10.10,13.07,1.70,5.52,7.14,3.98,4.82,17.37,,
August,5.71,9.81,7.39,9.94,1.03,15.37,6.95,4.90,0.88,6.80,,
September,5.44,8.49,8.94,10.94,5.54,5.27,12.20,5.41,0.56,5.28,,
October,2.74,6.00,3.40,14.92,4.56,3.95,7.58,5.10,6.41,4.95,,
November,11.73,3.29,8.37,10.95,3.46,2.69,2.84,2.18,6.22,12.50,,
December,18.06,6.33,3.40,13.50,7.95,7.27,8.12,4.98,10.69,7.85,,
Total,79.17,70.53,63.19,102.40,50.47,58.62,65.45,56.84,46.75,76.29,,
Calc annual,79.17,70.53,63.19,102.40,50.47,58.62,65.45,56.84,46.75,76.29,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
