"NORTHFIELD",,,,,,,,,,,,
Grid ref,SP010812,Long,-1.986720,Lat,52.428781,,,,,,,
Station no,2473,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.06,2.80,0.99,1.14,2.71,3.99,1.47,3.15,4.10,6.56,,
February,3.52,0.53,1.39,3.20,1.99,0.57,3.77,6.11,0.23,3.21,,
March,5.25,2.51,1.90,3.20,3.67,1.19,2.66,1.62,2.40,1.67,,
April,2.84,3.09,3.35,0.76,1.35,1.36,0.24,0.77,3.78,1.43,,
May,3.45,2.90,2.83,2.90,5.54,0.70,2.04,2.71,1.25,1.45,,
June,1.22,1.70,2.37,3.20,3.26,2.34,1.58,4.13,1.00,2.65,,
July,1.18,1.22,3.84,3.90,1.43,3.59,3.51,4.72,1.60,3.56,,
August,4.57,4.14,2.99,4.62,0.50,5.36,4.04,3.33,2.50,3.56,,
September,2.57,1.93,3.02,1.96,1.84,3.75,5.29,4.18,0.16,5.07,,
October,0.65,4.96,2.45,4.27,2.03,1.83,1.68,2.53,3.12,7.01,,
November,9.10,2.27,1.59,6.77,3.54,0.81,2.17,2.38,4.93,4.59,,
December,3.07,3.11,1.31,2.65,2.80,3.40,2.84,3.82,6.14,3.95,,
Total,40.48,31.16,28.03,38.57,30.66,28.89,31.29,39.45,31.21,44.71,,
Calc annual,40.48,31.16,28.03,38.57,30.66,28.89,31.29,39.45,31.21,44.71,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
