"NEW MALDEN SEWAGE WORKS",,,,,,,,,,,,
Grid ref,TQ197685,Long,-0.280569,Lat,51.402908,,,,,,,
Station no,151,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.92,1.68,0.98,1.08,2.31,3.59,1.60,1.81,2.21,1.75,,
February,5.46,1.02,1.25,2.07,1.61,0.39,2.77,1.99,0.05,1.51,,
March,2.85,2.67,0.45,1.93,0.91,0.70,0.72,1.11,1.90,1.78,,
April,2.35,1.40,2.08,0.33,0.25,1.04,0.20,1.17,1.79,0.54,,
May,1.94,2.40,1.18,2.75,3.69,0.20,1.24,2.27,0.85,1.77,,
June,0.83,2.03,1.32,4.41,2.24,1.94,0.75,4.04,0.88,1.03,,
July,1.28,0.60,3.68,2.72,0.26,3.98,2.93,1.98,1.13,2.98,,
August,2.35,2.42,1.21,3.16,1.03,2.39,3.99,3.20,1.68,2.93,,
September,2.69,3.19,2.57,2.20,1.84,1.99,2.32,4.04,0.02,2.62,,
October,0.70,2.51,3.08,2.05,2.68,1.56,1.64,2.69,2.09,5.10,,
November,5.09,3.20,0.93,3.66,0.65,0.42,2.57,1.72,2.92,3.45,,
December,1.80,2.35,0.58,1.71,2.00,2.64,1.77,2.69,3.29,2.34,,
Total,30.26,25.47,19.31,28.07,19.47,20.84,22.50,29.20,18.81,27.80,,
Calc annual,30.26,25.47,19.31,28.07,19.47,20.84,22.50,28.71,18.81,27.80,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.49,0.00,0.00,,
