"RETFORD (SEWAGE DISPOSAL WORKS)",,,,,,,,,,,,
Grid ref,SK706827,Long,-0.941216,Lat,53.336505,,,,,,,
Station no,2635,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.54,1.62,0.58,0.85,1.69,2.79,1.15,1.91,1.84,4.18,,
February,2.71,0.25,1.23,1.86,2.01,0.83,1.48,2.80,0.08,2.10,,
March,2.50,1.71,0.87,1.29,2.59,0.59,1.50,1.62,1.05,1.46,,
April,0.87,0.65,1.81,0.19,0.73,1.73,0.23,0.42,2.06,0.79,,
May,3.54,1.51,1.61,3.00,2.82,0.32,0.90,2.09,0.50,1.05,,
June,0.69,2.17,1.60,2.10,2.47,4.10,1.32,4.99,0.35,0.94,,
July,0.90,0.50,2.00,1.79,0.49,2.79,3.96,5.73,0.91,3.18,,
August,4.95,1.12,1.31,5.67,0.36,5.68,3.21,1.60,0.49,3.35,,
September,1.34,1.64,0.95,1.66,0.45,1.58,3.88,1.79,0.03,2.98,,
October,1.08,1.97,2.23,2.66,1.37,1.20,1.00,1.65,1.73,4.69,,
November,4.97,1.09,1.06,3.92,1.49,0.77,2.47,0.68,2.50,3.34,,
December,1.03,1.65,0.85,1.82,1.55,1.75,1.46,2.77,2.88,2.18,,
Total,26.12,15.88,16.10,26.81,18.02,24.13,22.56,28.05,14.42,30.24,,
Calc annual,26.12,15.88,16.10,26.81,18.02,24.13,22.56,28.05,14.42,30.24,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
