"SEATON JUNCTION",,,,,,,,,,,,
Grid ref,SY249965,Long,-3.066200,Lat,50.763211,,,,,,,
Station no,1818/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.87,2.99,0.67,1.74,5.00,4.88,3.29,4.42,5.42,3.86,,
February,5.81,0.81,1.75,4.41,3.05,0.07,5.33,4.89,0.34,5.01,,
March,4.58,3.50,0.63,4.79,1.09,1.15,3.70,1.71,3.77,2.54,,
April,1.62,3.33,3.38,0.23,1.03,1.18,0.05,0.95,2.55,3.21,,
May,2.42,3.22,3.68,1.97,4.05,1.00,2.00,2.33,0.89,2.23,,
June,0.98,2.38,2.86,3.38,4.01,2.54,2.56,3.18,1.09,1.50,,
July,2.48,2.06,3.53,2.68,2.67,1.99,3.27,2.75,1.90,3.97,,
August,5.37,4.04,2.53,4.27,0.62,3.46,3.12,3.37,2.53,4.82,,
September,4.14,3.67,2.95,3.78,1.22,6.30,3.52,5.93,0.09,7.63,,
October,1.10,5.68,4.48,3.71,2.26,1.62,2.39,2.48,2.73,12.03,,
November,7.59,4.36,1.98,7.75,5.60,0.77,0.46,3.16,7.22,6.21,,
December,3.14,3.45,0.98,2.78,5.90,6.76,2.98,6.05,9.09,3.93,,
Total,43.10,39.49,29.42,41.49,36.50,31.72,32.67,41.22,37.62,56.94,,
Calc annual,43.10,39.49,29.42,41.49,36.50,31.72,32.67,41.22,37.62,56.94,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
