"KILKEEL (COASTGUARD STATION)",,,,,,,,,,,,
Grid ref,IJ333514,Long,-5.948228,Lat,54.393877,,,,,,,
Station no,6195/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,2.16,3.30,3.38,3.03,2.95,2.81,4.58,,
February,,,,3.58,3.73,1.07,1.71,4.12,1.26,2.41,,
March,,,,3.32,1.39,1.58,3.78,1.50,2.39,3.45,,
April,,,,0.62,2.71,1.31,1.17,0.81,2.24,1.91,,
May,,,,3.43,3.06,0.82,3.08,4.57,1.58,1.61,,
June,,,,2.65,4.71,2.13,0.85,7.10,1.42,2.02,,
July,,,,3.54,1.82,2.96,2.80,4.26,2.39,5.49,,
August,,,,2.81,1.19,6.40,4.57,6.62,0.67,4.86,,
September,,,,3.38,1.89,3.87,5.19,3.99,2.32,3.47,,
October,,,1.78,5.64,1.75,2.28,4.34,2.64,5.26,3.77,,
November,,,3.21,4.16,1.69,1.18,1.47,2.52,3.19,3.59,,
December,,,4.11,4.38,2.98,3.64,4.61,3.63,4.47,3.04,,
Total,,,,39.67,30.22,30.62,36.60,44.71,30.00,40.20,,
Calc annual,0.00,0.00,9.10,39.67,30.22,30.62,36.60,44.71,30.00,40.20,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
