"BRAND BRIDGES",,,,,,,,,,,,
Grid ref,TQ674484,Long,0.395194,Lat,51.210273,,,,,,,
Station no,348/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.10,1.53,,,,,,,,
February,,,1.17,1.83,,,,,,,,
March,,,0.33,2.65,,,,,,,,
April,,,1.80,0.41,,,,,,,,
May,,,1.24,2.50,,,,,,,,
June,,,1.87,,,,,,,,,
July,,,2.12,,,,,,,,,
August,,,1.70,,,,,,,,,
September,,,3.81,,,,,,,,,
October,,,2.75,,,,,,,,,
November,,,1.59,,,,,,,,,
December,,,0.83,,,,,,,,,
Total,,,20.31,,,,,,,,,
Calc annual,0.00,0.00,20.31,8.92,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
