"GUMBY",,,,,,,,,,,,
Grid ref,SK899218,Long,-0.668436,Lat,52.786298,,,,,,,
Station no,2532/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.59,2.39,4.59,,
February,,,,,,,,3.48,0.05,2.04,,
March,,,,,,,,1.54,2.32,1.63,,
April,,,,,,,,0.70,1.77,0.41,,
May,,,,,,,,2.07,0.67,1.15,,
June,,,,,,,,5.35,0.69,1.71,,
July,,,,,,,,3.48,2.48,3.60,,
August,,,,,,,,2.19,1.40,3.75,,
September,,,,,,,,2.33,0.12,4.16,,
October,,,,,,,,1.67,1.61,5.54,,
November,,,,,,,,1.46,2.13,3.23,,
December,,,,,,,,2.64,,4.20,,
Total,,,,,,,,29.50,,36.01,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.50,15.63,36.01,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,NaN,-0.00,,
