"BIELDSIDE (KERRERA)",,,,,,,,,,,,
Grid ref,NJ872036,Long,-2.213034,Lat,57.123152,,,,,,,
Station no,5641/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.65,,
February,,,,,,,,,,3.35,,
March,,,,,,,,,,1.65,,
April,,,,,,,,,,1.88,,
May,,,,,,,,,,0.93,,
June,,,,,,,,,,1.62,,
July,,,,,,,,,1.35,4.80,,
August,,,,,,,,,0.64,5.72,,
September,,,,,,,,,0.76,3.06,,
October,,,,,,,,,3.87,10.21,,
November,,,,,,,,,5.64,6.34,,
December,,,,,,,,,5.22,2.52,,
Total,,,,,,,,,,46.73,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.48,46.73,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
