"ALPORT MOOR ALPORT CASTLE",,,,,,,,,,,,
Grid ref,SK133919,Long,-1.801326,Lat,53.423730,,,,,,,
Station no,2695/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.10,6.70,2.61,5.25,3.50,9.50,3.82,8.30,4.85,9.46,,
February,4.70,2.60,3.32,4.60,2.91,2.00,4.93,9.40,0.75,4.46,,
March,7.10,3.85,3.60,3.60,4.10,2.56,4.48,4.00,2.75,2.63,,
April,3.50,3.86,4.20,0.72,2.22,2.55,1.10,2.25,5.50,3.60,,
May,3.50,2.70,3.20,3.82,5.30,1.43,1.75,4.65,1.75,2.83,,
June,1.95,3.47,4.49,3.36,4.12,4.39,1.80,6.50,2.50,1.65,,
July,3.75,4.30,6.27,7.20,0.50,8.70,5.47,6.30,4.75,9.70,,
August,6.66,3.00,4.88,6.60,0.45,11.50,8.43,4.63,0.70,5.25,,
September,3.85,5.75,2.80,5.50,2.47,4.73,10.56,6.25,0.11,4.95,,
October,1.75,8.60,3.10,8.65,4.25,3.36,6.00,4.43,4.50,7.86,,
November,11.55,4.20,3.15,8.31,2.75,2.75,3.22,2.30,6.30,7.70,,
December,9.37,5.22,2.85,11.95,6.23,7.12,7.60,5.70,9.20,6.30,,
Total,63.78,54.25,44.47,69.56,38.80,60.59,59.16,64.71,43.66,66.39,,
Calc annual,63.78,54.25,44.47,69.56,38.80,60.59,59.16,64.71,43.66,66.39,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
