"GEENWICH (NATIONAL MARITIME MUSEUM) LONDON ",,,,,,,,,,,,
Grid ref,TQ387776,Long,-0.004026,Lat,51.480358,,,,,,,
Station no,17/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.50,1.66,0.84,1.18,2.29,3.13,1.39,1.58,1.87,1.43,,
February,5.80,0.81,1.46,2.11,1.46,0.16,2.51,2.14,0.04,1.59,,
March,2.75,2.37,0.50,1.89,1.00,0.87,0.72,1.37,1.50,1.70,,
April,2.75,1.06,2.18,0.31,0.30,1.03,0.19,1.55,1.95,0.51,,
May,1.71,0.91,1.67,1.96,4.21,0.54,1.01,2.06,1.00,1.82,,
June,1.20,1.30,1.17,2.93,1.93,2.73,0.68,4.10,0.86,1.05,,
July,1.26,0.60,4.51,2.53,0.05,3.38,3.90,2.08,1.21,2.84,,
August,2.93,3.21,1.54,4.48,0.83,3.21,1.83,3.93,2.19,3.67,,
September,2.89,2.58,2.03,2.15,2.67,2.07,2.47,4.31,0.13,5.12,,
October,0.86,2.69,3.35,1.56,3.38,1.06,1.64,2.36,1.86,5.24,,
November,4.25,3.65,0.93,3.42,0.36,0.44,2.42,1.72,2.64,3.52,,
December,1.91,2.09,0.59,1.28,1.62,2.68,1.65,2.86,3.18,2.11,,
Total,30.81,22.93,20.77,25.80,20.10,21.30,20.41,30.06,18.43,30.60,,
Calc annual,30.81,22.93,20.77,25.80,20.10,21.30,20.41,30.06,18.43,30.60,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
