"LOCH ARKLET (CORRIEARKLET)",,,,,,,,,,,,
Grid ref,NN382099,Long,-4.613298,Lat,56.253969,,,,,,,
Station no,5377,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.50,8.40,8.20,9.30,6.10,7.80,14.60,10.30,3.50,5.60,,
February,7.40,3.40,7.20,6.70,4.50,3.50,7.50,4.50,4.30,9.00,,
March,4.40,9.90,3.30,9.00,2.10,5.00,8.70,3.40,8.40,3.50,,
April,5.60,4.30,5.70,4.20,6.10,2.80,3.50,4.90,6.60,10.40,,
May,2.20,2.50,5.30,5.90,5.00,6.00,4.20,6.90,2.50,4.90,,
June,3.80,7.50,2.00,5.60,5.00,5.30,2.60,4.40,4.80,3.80,,
July,5.70,4.70,9.30,5.10,1.00,8.20,6.68,5.50,8.70,7.80,,
August,8.70,7.40,5.50,8.70,1.60,8.20,8.20,8.60,4.60,5.80,,
September,5.70,5.10,12.40,12.80,8.70,9.00,5.40,7.80,2.20,4.80,,
October,2.60,9.30,8.60,16.00,7.70,6.30,11.00,9.50,9.80,5.50,,
November,12.20,3.40,16.10,15.50,5.00,5.00,3.70,3.20,8.60,11.10,,
December,11.80,8.40,10.50,19.50,17.10,14.30,14.10,10.10,15.10,11.60,,
Total,77.60,74.30,94.10,118.30,69.90,81.40,90.18,79.10,79.10,83.80,,
Calc annual,77.60,74.30,94.10,118.30,69.90,81.40,90.18,79.10,79.10,83.80,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
