"DUNDONALD (UNCLEAR)",,,,,,,,,,,,
Grid ref,IJ426728,Long,-5.794822,Lat,54.583485,,,,,,,
Station no,6201/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,2.52,4.20,4.02,4.20,3.85,2.11,4.01,,
February,,,,3.49,3.28,1.14,2.66,4.21,0.89,2.82,,
March,,,,4.40,1.59,1.49,3.00,2.09,2.88,,,
April,,,,0.50,2.00,0.73,0.97,1.95,3.41,,,
May,,,,4.40,2.90,1.26,2.65,2.87,1.84,,,
June,,,,2.57,5.10,2.53,0.74,5.22,2.85,,,
July,,,,3.41,1.39,3.36,4.46,3.97,1.96,,,
August,,,2.62,3.41,1.67,7.22,4.77,3.92,1.18,5.00,,
September,,,2.66,3.89,3.42,3.96,4.53,5.89,1.36,3.57,,
October,,,2.67,5.53,2.35,1.88,3.23,2.10,3.95,5.90,,
November,,,3.55,6.25,3.10,1.27,2.21,2.08,3.47,5.34,,
December,,,2.96,5.00,5.70,4.12,4.81,5.45,5.12,2.33,,
Total,,,,45.37,36.70,32.98,38.23,43.60,31.02,,,
Calc annual,0.00,0.00,14.46,45.37,36.70,32.98,38.23,43.60,31.02,28.97,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,NaN,,
