"NORTH UIST (LOCH PORTAIN)",,,,,,,,,,,,
Grid ref,NF942719,Long,-7.125604,Lat,57.632918,,,,,,,
Station no,5765/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,3.13,5.10,4.12,,,,,,,
February,,1.87,3.21,4.93,,,,,,,,
March,,2.85,1.19,3.77,,,,,,,,
April,,,2.74,1.60,,,,,,,,
May,,,1.47,1.45,,,,,,,,
June,,,1.46,2.71,,,,,,,,
July,,,4.86,,,,,,,,,
August,,,2.88,,,,,,,,,
September,,,3.58,,,,,,,,,
October,,,7.27,,,,,,,,,
November,,3.09,6.97,,,,,,,,,
December,,4.77,3.88,,,,,,,,,
Total,,,42.64,,,,,,,,,
Calc annual,0.00,12.58,42.64,19.56,4.12,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
