"GRANDS VAUX RESERVOIR",,,,,,,,,,,,
Grid ref,WV664507,Long,-2.088483,Lat,49.204520,,,,,,,
Station no,4430/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.73,5.85,2.19,6.04,5.21,3.60,,
February,,,,,3.82,0.43,6.88,4.34,0.10,3.71,,
March,,,,,1.57,0.75,2.10,3.45,1.73,2.66,,
April,,,,,0.29,0.81,0.85,0.67,3.65,1.55,,
May,,,,,2.49,1.20,1.04,3.05,1.85,2.55,,
June,,,,,2.33,1.55,1.03,3.40,0.50,1.57,,
July,,,,,1.60,2.40,2.10,1.09,0.90,3.66,,
August,,,,,0.77,5.55,2.77,3.98,1.59,3.93,,
September,,,,,2.87,1.98,3.95,2.27,0.49,2.60,,
October,,,,,3.69,2.34,1.43,3.82,3.97,6.35,,
November,,,,,1.32,1.55,2.50,3.51,4.70,5.61,,
December,,,,,4.75,4.54,3.04,4.08,7.88,6.64,,
Total,,,,,29.23,28.95,29.88,39.70,32.57,44.43,,
Calc annual,0.00,0.00,0.00,0.00,29.23,28.95,29.88,39.70,32.57,44.43,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
