"SEAHAM (DALTON PUMPING STATION)",,,,,,,,,,,,
Grid ref,NZ409471,Long,-1.365055,Lat,54.817091,,,,,,,
Station no,3532,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.49,2.18,0.93,2.68,1.47,3.05,1.43,1.66,2.97,4.82,,
February,2.40,0.58,1.42,1.78,2.16,1.35,1.96,3.71,0.60,2.35,,
March,3.52,1.42,0.05,1.28,1.53,0.84,0.97,3.56,0.68,1.72,,
April,1.18,1.52,2.39,0.42,0.94,0.95,0.42,1.48,1.52,0.79,,
May,4.52,1.71,2.21,2.24,1.83,0.54,1.33,2.80,0.47,1.86,,
June,1.58,0.92,2.36,2.07,2.67,3.03,2.40,2.57,2.64,0.31,,
July,1.43,1.03,3.40,1.93,1.19,2.49,2.88,2.54,1.91,3.70,,
August,4.71,2.02,4.07,4.92,0.76,6.73,3.28,2.39,0.42,2.01,,
September,0.94,4.36,1.51,2.07,1.35,1.98,3.47,1.32,0.59,1.85,,
October,1.19,2.61,1.30,3.97,1.23,1.42,1.72,1.26,0.95,7.12,,
November,5.23,3.68,1.18,3.56,1.92,0.92,1.20,0.65,3.10,2.72,,
December,3.08,2.34,0.85,1.70,2.73,2.23,1.27,3.20,3.20,2.04,,
Total,31.27,24.37,21.67,28.62,19.78,25.53,22.33,27.14,19.05,31.29,,
Calc annual,31.27,24.37,21.67,28.62,19.78,25.53,22.33,27.14,19.05,31.29,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
