"KIRRIEMUIR (DYKENDS)",,,,,,,,,,,,
Grid ref,NO253569,Long,-3.221417,Lat,56.697822,,,,,,,
Station no,5578,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.20,3.10,1.00,2.50,2.10,3.40,4.30,4.30,1.70,4.30,,
February,4.50,1.10,1.60,3.70,1.50,1.50,4.50,2.50,0.60,5.50,,
March,1.80,4.90,0.60,3.50,1.30,2.60,3.20,4.20,3.20,2.70,,
April,2.30,1.75,2.60,1.00,1.10,0.50,1.30,1.10,3.30,4.30,,
May,1.60,5.05,1.90,5.40,2.40,1.10,2.40,3.10,0.90,2.20,,
June,2.50,2.50,3.20,1.70,2.40,3.00,1.70,3.20,2.90,2.80,,
July,3.20,3.70,3.30,3.50,0.50,4.40,6.20,3.70,3.80,4.20,,
August,5.60,3.00,2.30,3.30,0.60,6.30,5.50,3.60,1.30,7.10,,
September,3.20,1.20,3.90,4.10,1.60,5.10,2.90,4.40,0.90,2.84,,
October,1.00,4.05,2.20,6.70,2.30,2.40,1.80,2.80,3.70,8.60,,
November,10.60,2.10,3.20,8.00,2.50,1.20,1.60,1.00,6.50,4.90,,
December,4.30,2.70,4.80,4.70,6.60,6.20,4.70,5.50,7.90,2.70,,
Total,44.80,35.15,30.60,48.10,24.90,37.70,40.10,39.40,36.70,52.14,,
Calc annual,44.80,35.15,30.60,48.10,24.90,37.70,40.10,39.40,36.70,52.14,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
