"LOCH AILORT (INVERAILORT)",,,,,,,,,,,,
Grid ref,NM763815,Long,-5.672252,Lat,56.870812,,,,,,,
Station no,5719/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,13.30,8.07,8.31,8.32,5.58,7.40,13.41,13.08,4.36,4.76,,
February,5.69,4.85,7.38,7.67,7.87,4.72,7.03,6.54,3.59,6.54,,
March,4.76,7.59,3.10,8.38,2.55,3.06,6.49,1.51,8.88,1.89,,
April,6.80,5.29,7.86,3.00,7.14,4.39,4.76,4.57,5.92,8.61,,
May,0.93,4.47,5.41,5.85,4.58,6.71,2.32,5.79,2.30,3.66,,
June,3.06,7.51,1.87,8.05,5.07,5.83,4.57,2.44,6.28,4.80,,
July,7.16,6.96,9.48,6.18,2.09,8.90,9.74,2.57,10.18,4.36,,
August,7.08,7.19,10.41,9.98,2.58,6.06,6.84,6.15,6.04,8.34,,
September,9.32,6.89,9.50,12.11,9.94,6.50,6.70,5.97,4.59,6.08,,
October,5.81,8.00,7.75,12.50,10.45,7.74,11.45,12.15,11.19,1.30,,
November,10.77,4.05,16.54,14.29,3.83,9.81,5.12,4.85,13.29,11.60,,
December,16.43,11.31,10.76,12.43,9.18,17.21,9.58,5.54,11.93,10.96,,
Total,91.11,82.18,98.37,108.76,70.86,88.33,88.01,71.16,88.55,72.90,,
Calc annual,91.11,82.18,98.37,108.76,70.86,88.33,88.01,71.16,88.55,72.90,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
