"TAUNTON",,,,,,,,,,,,
Grid ref,ST221251,Long,-3.112001,Lat,51.019976,,,,,,,
Station no,2070/4/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.66,2.40,0.53,,,,,,,,,
February,4.59,0.96,1.35,,,,,,,,,
March,3.60,2.11,0.72,,,,,,,,,
April,3.22,1.89,2.88,,,,,,,,,
May,3.13,3.35,1.74,,,,,,,,,
June,0.66,1.97,1.71,,,,,,,,,
July,1.93,0.48,2.42,,,,,,,,,
August,4.31,4.39,2.29,,,,,,,,,
September,2.25,2.86,3.09,,,,,,,,,
October,1.15,3.58,3.28,,,,,,,,,
November,7.49,4.44,2.11,,,,,,,,,
December,2.78,2.19,0.82,,,,,,,,,
Total,38.77,30.62,22.94,,,,,,,,,
Calc annual,38.77,30.62,22.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
