"GATLEY (PARK ROAD)",,,,,,,,,,,,
Grid ref,SJ838885,Long,-2.245069,Lat,53.393082,,,,,,,
Station no,2741/1/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,3.17,2.31,4.91,1.75,3.44,3.04,,,
February,,,,3.01,2.26,0.64,2.08,4.58,0.40,,,
March,,,,2.59,2.02,0.96,2.97,1.96,1.50,,,
April,,,,0.80,1.94,2.40,0.35,0.74,3.01,,,
May,,,,2.74,2.77,1.08,1.63,2.60,1.21,,,
June,,,,2.81,2.87,2.36,1.63,5.48,1.90,,,
July,,,,4.79,0.79,4.72,5.05,5.12,2.92,,,
August,,,,4.56,0.95,8.21,4.15,4.35,1.13,,,
September,,,,3.86,2.05,2.25,6.51,3.60,0.22,,,
October,,,,5.71,2.26,2.20,3.68,2.48,3.36,,,
November,,,,5.55,1.61,1.23,1.48,1.20,3.38,,,
December,,,,5.06,3.87,2.94,3.01,3.16,4.54,,,
Total,,,,44.65,25.70,33.90,34.29,38.71,26.61,,,
Calc annual,0.00,0.00,0.00,44.65,25.70,33.90,34.29,38.71,26.61,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
