"NORWICH (WATERWORKS RD W.W.)",,,,,,,,,,,,
Grid ref,TG214096,Long,1.270751,Lat,52.638946,,,,,,,
Station no,1417/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.52,1.73,2.32,3.23,,
February,,,,,,,2.11,2.35,0.16,1.62,,
March,,,,,,,1.74,0.81,1.23,0.82,,
April,,,,,,,0.21,0.78,1.48,0.93,,
May,,,,,,,0.78,2.85,0.33,0.29,,
June,,,,,,1.89,2.29,2.47,0.93,0.96,,
July,,,,,,2.66,2.24,2.38,1.37,3.42,,
August,,,,,,5.22,2.42,3.09,1.15,3.43,,
September,,,,,,1.20,2.75,1.86,0.05,3.09,,
October,,,,,,2.21,1.14,1.72,1.77,3.58,,
November,,,,,,1.05,1.78,1.04,2.20,2.73,,
December,,,,,,1.53,1.83,2.44,2.47,3.28,,
Total,,,,,,,20.81,23.52,15.46,27.38,,
Calc annual,0.00,0.00,0.00,0.00,0.00,15.76,20.81,23.52,15.46,27.38,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
