"SPAXTON (RADLETT COMMON)",,,,,,,,,,,,
Grid ref,ST209379,Long,-3.131911,Lat,51.134888,,,,,,,
Station no,2083/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.62,4.09,3.68,,
February,,,,,,,,3.60,0.24,3.58,,
March,,,,,,,,1.02,3.56,2.01,,
April,,,,,,,,0.71,3.13,2.70,,
May,,,,,,,1.46,2.73,0.80,1.29,,
June,,,,,,,2.10,3.55,0.82,1.05,,
July,,,,,,,3.09,1.39,1.81,4.42,,
August,,,,,,,3.28,2.84,1.28,3.53,,
September,,,,,,,3.95,4.08,0.17,3.67,,
October,,,,,,,2.01,1.73,3.75,10.48,,
November,,,,,,,2.36,3.15,5.75,3.67,,
December,,,,,,,2.17,4.60,7.21,3.90,,
Total,,,,,,,,32.02,32.61,43.98,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,20.42,32.02,32.61,43.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
