"WELFORD RESERVOIR",,,,,,,,,,,,
Grid ref,SP645811,Long,-1.052913,Lat,52.424093,,,,,,,
Station no,2490,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.45,2.03,1.28,1.25,2.33,3.95,1.52,2.82,4.04,4.02,,
February,2.67,0.76,1.29,2.91,2.21,1.05,2.89,3.69,0.10,1.74,,
March,3.46,2.81,1.07,2.67,2.82,1.00,2.15,2.01,2.52,1.83,,
April,2.91,1.98,1.99,0.38,1.09,0.91,0.39,0.86,2.53,0.73,,
May,3.04,3.23,1.83,2.77,4.36,0.52,1.65,1.95,0.58,1.38,,
June,1.52,1.36,3.38,2.50,2.57,2.67,1.62,5.72,0.77,2.86,,
July,1.47,0.40,3.35,3.25,0.18,3.09,3.51,4.81,1.50,3.57,,
August,4.89,4.16,2.90,3.96,0.88,5.37,2.81,2.97,0.67,5.04,,
September,1.56,2.10,1.66,2.07,1.94,2.42,4.34,2.99,0.14,4.20,,
October,1.07,2.79,2.26,3.80,1.75,1.65,0.99,2.40,2.33,7.04,,
November,4.47,3.13,1.50,5.34,1.11,0.94,2.06,1.95,2.15,3.20,,
December,2.16,2.41,0.91,2.95,2.30,4.28,2.57,2.48,4.63,3.01,,
Total,31.67,27.16,23.42,33.85,23.54,27.85,26.50,34.65,21.96,38.62,,
Calc annual,31.67,27.16,23.42,33.85,23.54,27.85,26.50,34.65,21.96,38.62,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
