"SHOTTS RESERVOIR",,,,,,,,,,,,
Grid ref,NS885603,Long,-3.781281,Lat,55.823028,,,,,,,
Station no,5171/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.40,3.22,1.86,3.80,2.36,2.08,5.42,3.89,1.84,4.49,,
February,2.11,1.11,1.61,1.96,1.84,1.83,3.40,2.95,2.31,4.06,,
March,3.50,1.70,0.82,1.82,1.46,2.25,3.78,1.93,1.69,1.80,,
April,2.68,1.86,2.72,1.87,1.52,0.71,2.26,1.48,2.71,2.66,,
May,2.31,1.52,2.76,4.29,3.58,2.00,2.35,3.86,1.55,2.02,,
June,3.14,3.39,1.63,3.27,2.27,2.92,3.03,3.65,3.10,1.55,,
July,4.83,3.90,4.90,3.88,1.50,5.31,4.50,6.30,5.38,2.49,,
August,4.55,4.10,3.00,5.35,1.54,4.74,5.24,3.83,1.14,3.54,,
September,2.67,2.37,2.72,5.87,3.55,4.69,2.55,4.07,1.12,2.38,,
October,1.13,3.14,2.26,8.59,2.81,2.95,4.21,2.64,4.38,3.54,,
November,5.63,2.93,6.80,5.47,1.55,1.66,2.24,1.98,7.02,4.58,,
December,4.82,3.51,4.27,5.06,5.70,6.08,5.01,6.09,4.55,5.13,,
Total,40.77,32.75,35.35,51.23,29.68,37.22,43.99,42.67,36.79,38.24,,
Calc annual,40.77,32.75,35.35,51.23,29.68,37.22,43.99,42.67,36.79,38.24,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
