"PENISTONE (SPICER HOUSE)",,,,,,,,,,,,
Grid ref,SE204056,Long,-1.693600,Lat,53.546645,,,,,,,
Station no,3169/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.95,4.80,1.15,3.45,3.30,5.70,2.45,3.90,3.95,6.45,,
February,4.05,1.15,2.40,3.85,3.65,1.60,3.15,5.35,0.20,3.05,,
March,5.05,1.90,2.60,2.85,3.10,1.60,2.20,3.00,1.50,2.50,,
April,2.40,1.95,2.85,0.70,0.80,2.70,0.40,0.85,5.60,2.00,,
May,5.10,2.50,2.65,4.70,3.80,0.95,1.05,3.50,1.05,2.50,,
June,1.50,1.80,3.55,1.60,2.75,3.75,1.10,5.26,2.65,1.60,,
July,2.60,2.20,4.00,3.40,0.75,6.95,3.15,5.40,2.55,4.35,,
August,5.35,2.65,3.80,5.70,0.70,7.05,6.08,3.65,1.05,4.50,,
September,2.35,3.65,2.55,3.95,1.20,4.20,5.10,4.20,0.20,4.10,,
October,1.05,5.95,2.20,5.70,2.25,2.45,3.25,3.10,3.60,8.80,,
November,9.55,2.35,3.45,7.25,2.20,1.55,2.75,1.05,4.85,6.00,,
December,6.50,3.30,1.75,5.90,4.80,6.05,5.00,4.95,7.90,6.05,,
Total,49.45,34.20,32.95,49.05,29.30,44.55,35.68,44.21,35.10,51.90,,
Calc annual,49.45,34.20,32.95,49.05,29.30,44.55,35.68,44.21,35.10,51.90,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
