"R.A.E BEDFORD",,,,,,,,,,,,
Grid ref,TL049597,Long,-0.465660,Lat,52.225524,,,,,,,
Station no,1184/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,0.83,2.41,3.15,4.62,,
February,,,,,,,2.03,2.18,0.13,2.04,,
March,,,,,,,1.79,1.84,1.85,1.81,,
April,,,,,,,0.17,0.82,1.56,0.26,,
May,,,,,,,1.23,1.76,0.39,1.11,,
June,,,,,,,2.09,5.30,0.83,2.60,,
July,,,,,,,2.43,3.05,1.80,2.80,,
August,,,,,,,2.13,3.06,0.48,2.52,,
September,,,,,,,3.46,2.40,0.02,3.83,,
October,,,,,,,1.63,1.97,1.83,4.54,,
November,,,,,,0.71,1.51,1.87,1.64,3.15,,
December,,,,,,2.48,1.95,2.33,3.64,2.95,,
Total,,,,,,,21.25,28.99,17.32,32.24,,
Calc annual,0.00,0.00,0.00,0.00,0.00,3.19,21.25,28.99,17.32,32.23,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.01,,
