"PORTH PARK",,,,,,,,,,,,
Grid ref,ST023911,Long,-3.412316,Lat,51.610226,,,,,,,
Station no,4076/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.05,9.73,2.35,4.83,6.30,9.73,,7.24,8.55,8.35,,
February,7.57,1.40,3.76,8.40,3.46,0.73,,8.29,0.44,6.27,,
March,7.75,5.83,4.81,6.78,3.05,3.14,9.70,1.59,6.95,3.09,,
April,6.30,5.13,5.27,2.50,4.50,2.06,0.47,2.10,6.10,4.96,,
May,3.32,4.78,4.39,3.84,7.53,2.06,3.03,6.17,1.51,1.94,,
June,1.32,4.43,3.30,8.13,9.44,4.36,1.13,4.37,3.45,3.53,,
July,2.49,3.67,9.87,7.83,0.98,5.77,7.16,7.21,6.07,8.99,,
August,9.19,9.15,8.20,7.30,1.81,8.41,6.41,7.59,2.42,6.78,,
September,6.81,4.15,8.84,10.96,3.16,,10.80,11.94,0.64,7.03,,
October,1.92,7.54,4.22,14.76,4.18,,9.62,9.06,8.74,9.54,,
November,13.29,5.40,6.88,14.36,6.29,,3.35,3.63,10.22,16.42,,
December,8.01,6.50,2.20,8.00,11.75,,5.19,7.06,16.65,11.22,,
Total,77.02,67.71,64.09,97.69,62.45,,,76.25,71.74,88.12,,
Calc annual,77.02,67.71,64.09,97.69,62.45,36.26,56.86,76.25,71.74,88.12,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,0.00,-0.00,0.00,,
