"ABERDEEN (GRANDHOLM WORKS)",,,,,,,,,,,,
Grid ref,NJ928096,Long,-2.120723,Lat,57.177173,,,,,,,
Station no,5644/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.91,,
February,,,,,,,,,,3.01,,
March,,,,,,,,,,1.16,,
April,,,,,,,,,,1.55,,
May,,,,,,,,,,0.68,,
June,,,,,,,,,,1.66,,
July,,,,,,,,,2.44,4.43,,
August,,,,,,,,,0.66,3.77,,
September,,,,,,,,,0.58,2.44,,
October,,,,,,,,,3.79,7.17,,
November,,,,,,,,,4.03,4.97,,
December,,,,,,,,,3.87,2.53,,
Total,,,,,,,,,,37.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.37,37.28,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
