"DUNDEE (HARBOUR)",,,,,,,,,,,,
Grid ref,NO404298,Long,-2.968643,Lat,56.456568,,,,,,,
Station no,5588,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.02,1.26,,1.32,-999.00,-999.00,,,-999.00,-999.00,,
February,2.94,0.53,,2.07,-999.00,-999.00,,,-999.00,-999.00,,
March,2.13,2.19,,1.86,-999.00,-999.00,,,-999.00,-999.00,,
April,1.57,0.73,,1.13,-999.00,-999.00,,,-999.00,-999.00,,
May,1.82,2.16,,3.80,-999.00,-999.00,,,-999.00,-999.00,,
June,2.03,2.10,,1.67,-999.00,-999.00,,,-999.00,-999.00,,
July,4.03,1.47,,2.74,-999.00,-999.00,,,-999.00,-999.00,,
August,2.91,2.59,,2.68,-999.00,-999.00,,,-999.00,-999.00,,
September,1.60,0.71,,2.02,-999.00,-999.00,,,-999.00,-999.00,,
October,0.51,1.85,,5.01,-999.00,-999.00,,,-999.00,-999.00,,
November,-999.00,1.77,,3.07,-999.00,-999.00,,,-999.00,-999.00,,
December,-999.00,1.92,,3.14,-999.00,-999.00,,,-999.00,-999.00,,
Total,-999.00,19.28,,30.51,-999.00,-999.00,,,-999.00,-999.00,,
Calc annual,22.56,19.28,0.00,30.51,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-1021.56,0.00,NaN,0.00,-999.00,-999.00,NaN,NaN,-999.00,-999.00,,
