"LARKHILL (SCHOOL OF ARTILLERY)",,,,,,,,,,,,
Grid ref,SU137444,Long,-1.805307,Lat,51.198654,,,,,,,
Station no,1520,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.87,2.78,0.86,1.44,2.77,4.68,2.41,3.27,4.92,4.02,,
February,5.81,0.46,1.57,2.75,1.33,0.16,3.63,2.74,0.24,2.51,,
March,3.57,2.78,0.48,2.64,1.37,1.20,1.81,1.72,3.99,1.67,,
April,3.48,1.97,2.98,0.16,0.52,1.74,0.24,0.64,2.59,1.35,,
May,2.40,3.66,1.61,2.08,3.71,0.35,1.96,2.28,0.99,0.95,,
June,0.59,1.30,2.40,3.57,3.02,2.57,2.02,2.74,0.69,2.90,,
July,1.03,0.40,3.89,2.50,0.41,2.47,3.67,2.22,1.69,3.00,,
August,5.02,3.70,1.75,3.50,0.66,5.11,2.59,4.06,2.24,3.42,,
September,3.06,2.69,2.92,2.95,1.27,2.92,3.01,4.46,0.11,4.53,,
October,1.16,4.41,3.64,2.17,2.97,2.02,2.38,3.12,2.63,9.55,,
November,7.94,3.52,1.91,6.36,2.83,0.57,2.10,2.70,3.48,4.06,,
December,2.72,2.95,0.76,2.79,3.97,4.21,2.72,3.90,7.89,3.71,,
Total,39.65,30.62,24.77,32.91,24.83,28.00,28.54,33.85,31.46,41.67,,
Calc annual,39.65,30.62,24.77,32.91,24.83,28.00,28.54,33.85,31.46,41.67,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
