"CATHEDINE RECTORY",,,,,,,,,,,,
Grid ref,SO145239,Long,-3.244259,Lat,51.907051,,,,,,,
Station no,4205,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.17,3.51,1.14,2.33,4.10,4.31,4.07,3.52,6.00,4.55,,
February,4.52,0.66,1.50,3.45,1.80,0.29,5.16,6.46,0.42,5.54,,
March,4.27,2.17,1.92,3.57,2.55,1.49,3.18,1.09,3.41,2.04,,
April,2.78,3.30,3.77,0.39,1.21,0.95,0.10,0.63,4.17,3.51,,
May,2.97,4.19,2.14,2.40,4.24,0.81,2.44,3.07,1.73,1.65,,
June,1.09,3.26,1.46,4.46,4.36,2.36,1.05,2.98,1.63,1.93,,
July,0.77,1.57,2.89,1.61,0.53,3.54,3.35,2.26,3.08,3.28,,
August,3.96,6.75,2.50,3.84,0.88,2.69,3.28,2.95,0.84,3.89,,
September,3.43,2.75,3.46,3.60,1.72,3.82,5.42,8.56,0.18,4.54,,
October,1.41,5.18,3.38,5.75,2.65,2.10,2.44,4.11,3.57,5.89,,
November,9.18,2.92,2.79,9.28,3.94,1.30,2.59,2.06,6.66,8.79,,
December,4.37,3.35,1.44,4.00,4.72,4.97,3.40,4.48,9.86,4.43,,
Total,42.92,39.61,28.39,44.68,32.70,28.63,36.48,42.17,41.55,50.04,,
Calc annual,42.92,39.61,28.39,44.68,32.70,28.63,36.48,42.17,41.55,50.04,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
