"MARKYATE (WATERWORKS)",,,,,,,,,,,,
Grid ref,TL052159,Long,-0.474723,Lat,51.831817,,,,,,,
Station no,937/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.52,2.10,1.40,1.38,2.67,4.64,1.33,2.78,4.24,3.16,,
February,4.49,0.63,2.17,2.55,2.50,0.80,3.27,2.99,0.08,2.57,,
March,3.66,2.86,0.85,2.68,1.48,1.14,1.25,2.01,2.13,1.85,,
April,3.26,2.11,2.44,0.46,0.51,1.22,0.29,1.20,2.60,0.68,,
May,2.96,2.49,1.75,3.62,4.80,0.68,1.47,2.51,1.27,2.04,,
June,1.01,1.21,2.20,3.59,2.08,3.24,1.33,4.64,1.36,2.45,,
July,1.32,0.47,3.17,3.42,0.40,4.04,2.88,2.46,4.15,3.65,,
August,4.43,4.60,2.10,3.72,0.65,5.60,2.45,3.40,1.61,2.91,,
September,2.90,3.49,2.96,2.09,1.52,2.48,3.24,4.76,0.14,3.22,,
October,1.28,3.28,2.42,2.32,2.96,1.85,2.97,3.17,2.31,6.78,,
November,5.53,4.10,1.56,5.96,1.60,0.96,2.11,2.80,1.84,4.89,,
December,2.11,3.49,0.79,2.50,3.09,4.07,2.58,3.02,4.85,3.35,,
Total,36.47,30.83,23.81,34.29,24.26,30.72,25.17,35.74,26.58,37.55,,
Calc annual,36.47,30.83,23.81,34.29,24.26,30.72,25.17,35.74,26.58,37.55,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
