"READING W.W. (BATH ROAD)",,,,,,,,,,,,
Grid ref,SU702728,Long,-0.991175,Lat,51.449843,,,,,,,
Station no,800,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.51,1.75,1.35,1.19,3.03,3.44,1.46,2.84,2.65,2.76,,
February,4.29,0.63,1.51,2.37,1.43,0.20,3.17,2.68,0.22,2.33,,
March,3.68,2.11,0.30,2.23,0.91,0.62,1.25,1.27,2.73,1.17,,
April,2.81,1.22,2.26,0.28,0.30,1.65,0.28,1.21,2.16,0.49,,
May,2.72,2.97,1.85,3.12,3.98,0.25,1.23,1.57,0.43,1.88,,
June,1.68,1.42,1.55,4.17,2.18,2.44,1.85,3.85,1.33,1.28,,
July,1.10,0.50,3.82,2.49,0.29,2.10,3.74,2.81,1.84,3.00,,
August,3.95,3.11,2.02,3.28,0.47,5.80,2.30,3.70,1.22,4.40,,
September,2.86,2.45,2.36,1.55,1.64,2.72,2.91,3.62,0.04,3.53,,
October,0.76,3.73,2.79,1.92,2.86,1.53,2.16,2.63,2.45,7.05,,
November,6.72,2.89,1.19,4.68,1.92,0.69,2.18,2.46,2.21,3.91,,
December,1.75,2.59,0.65,2.45,2.33,3.48,2.12,2.90,4.09,3.30,,
Total,34.83,25.37,21.65,29.73,21.34,24.92,24.65,31.54,21.37,35.10,,
Calc annual,34.83,25.37,21.65,29.73,21.34,24.92,24.65,31.54,21.37,35.10,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
