"LUNEDALE (HARGILL)",,,,,,,,,,,,
Grid ref,NY880223,Long,-2.187239,Lat,54.595738,,,,,,,
Station no,3500,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.20,5.90,2.60,5.20,3.30,5.50,7.10,5.00,4.40,7.10,,
February,5.90,2.70,3.00,2.80,2.70,2.10,4.70,8.35,1.30,4.40,,
March,5.80,3.50,1.00,2.50,2.30,2.40,3.00,3.30,2.20,3.00,,
April,4.90,3.10,4.60,1.20,3.00,1.20,1.10,2.80,4.60,3.50,,
May,3.10,2.40,3.90,4.20,5.10,2.10,3.10,7.00,1.00,2.80,,
June,1.80,3.60,3.20,4.50,4.00,3.10,2.30,4.00,2.30,2.70,,
July,2.50,3.60,6.10,4.00,3.00,4.20,6.50,4.50,3.60,4.50,,
August,5.00,7.00,7.10,7.80,1.50,10.10,8.20,4.80,1.30,4.20,,
September,3.90,5.50,3.70,8.30,2.10,4.00,6.20,4.20,1.30,4.10,,
October,1.50,6.00,2.40,10.10,3.00,4.00,5.90,4.00,4.20,7.60,,
November,9.10,4.20,6.60,8.80,2.50,2.00,2.80,1.30,5.50,6.70,,
December,10.70,5.10,3.00,8.70,10.50,5.20,6.00,4.50,8.00,6.00,,
Total,59.40,52.60,47.20,68.10,43.00,45.90,56.90,53.75,39.70,56.60,,
Calc annual,59.40,52.60,47.20,68.10,43.00,45.90,56.90,53.75,39.70,56.60,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
