"BLOEN HAFREN",,,,,,,,,,,,
Grid ref,SN835884,Long,-3.716893,Lat,52.481048,,,,,,,
Station no,4247/5/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,13.25,9.30,11.45,15.88,,
February,,,,,,,9.69,14.70,2.20,8.05,,
March,,,,,,,10.14,3.30,6.95,4.60,,
April,,,,,,,0.95,4.42,7.70,8.30,,
May,,,,,,,4.63,6.88,3.25,4.85,,
June,,,,,,,3.17,6.09,4.97,4.60,,
July,,,,,,,12.21,8.00,8.20,10.30,,
August,,,,,,,15.18,6.88,0.97,10.15,,
September,,,,,,,17.45,12.25,0.80,7.50,,
October,,,,,,,14.09,8.40,16.05,6.23,,
November,,,,,,,5.32,6.15,8.55,14.50,,
December,,,,,,,10.80,7.55,17.45,13.75,,
Total,,,,,,,116.88,93.92,88.54,108.71,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,116.88,93.92,88.54,108.71,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,,
