"LOCH OICH (SOUTH LAGGAN)",,,,,,,,,,,,
Grid ref,NN294973,Long,-4.812986,Lat,57.035142,,,,,,,
Station no,5701/6/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.71,5.28,,
February,,,,,,,,,5.65,6.24,,
March,,,,,,,,,5.05,1.48,,
April,,,,,,,,,6.41,8.56,,
May,,,,,,,,,1.71,2.74,,
June,,,,,,,,,6.15,3.50,,
July,,,,,,,,3.96,7.46,3.57,,
August,,,,,,,,5.66,4.45,5.43,,
September,,,,,,,,4.85,2.11,5.15,,
October,,,,,,,,8.78,10.16,1.85,,
November,,,,,,,,2.15,9.77,6.61,,
December,,,,,,,,0.92,11.22,11.90,,
Total,,,,,,,,,73.85,62.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.32,73.85,62.31,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
