"WEST BALDWIN RESERVOIR",,,,,,,,,,,,
Grid ref,SC358831,Long,-4.519785,Lat,54.217239,,,,,,,
Station no,4418,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.85,5.27,3.41,6.56,5.82,5.95,5.16,7.01,5.14,7.16,,
February,5.92,1.71,3.26,6.96,4.47,1.35,6.90,8.56,1.77,5.95,,
March,6.50,4.52,0.66,6.28,3.54,2.11,5.50,3.19,4.62,3.04,,
April,2.48,2.22,5.33,1.01,4.11,1.46,1.33,1.83,3.27,4.25,,
May,6.24,3.42,3.66,4.37,3.43,2.31,4.28,4.02,1.02,3.30,,
June,0.84,3.39,3.31,3.66,5.82,4.83,2.22,5.32,3.53,2.15,,
July,3.44,2.05,5.68,5.59,2.89,4.18,5.41,4.36,2.93,9.71,,
August,6.26,6.84,5.61,5.60,2.23,12.38,5.18,6.22,0.63,3.53,,
September,6.53,6.87,7.29,7.47,4.16,5.43,10.11,6.46,1.87,5.47,,
October,1.24,7.87,6.57,10.89,4.90,4.56,7.01,4.12,6.90,7.88,,
November,10.43,4.83,7.91,11.06,4.27,2.63,5.28,4.78,8.97,10.98,,
December,9.55,5.98,3.96,10.20,8.29,5.85,5.51,8.61,12.52,6.51,,
Total,66.28,54.97,56.65,79.65,53.93,53.04,63.89,64.48,53.17,69.93,,
Calc annual,66.28,54.97,56.65,79.65,53.93,53.04,63.89,64.48,53.17,69.93,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
