"STRATHCONAN (BRIDGEND)",,,,,,,,,,,,
Grid ref,NH322551,Long,-4.806143,Lat,57.554760,,,,,,,
Station no,5771/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.51,7.74,6.28,6.39,3.48,5.27,7.64,4.13,3.80,4.83,,
February,3.75,4.04,3.62,3.70,3.39,3.79,3.32,4.00,1.72,3.57,,
March,3.54,3.12,3.37,2.34,1.94,2.40,3.39,2.61,2.29,0.71,,
April,5.90,2.10,4.02,2.55,1.52,3.27,1.33,3.70,5.15,3.93,,
May,1.00,3.22,4.39,4.56,2.73,3.94,1.41,4.74,1.57,1.41,,
June,1.01,3.04,2.58,2.16,1.55,2.27,2.15,2.46,2.87,2.71,,
July,3.19,2.81,3.61,3.10,0.88,4.26,7.19,2.28,5.68,2.96,,
August,4.47,4.12,3.31,1.74,0.37,6.73,5.05,3.36,2.96,7.57,,
September,2.39,4.41,3.78,5.81,5.80,4.14,4.52,3.63,1.38,2.33,,
October,1.75,8.88,1.21,7.67,5.13,5.84,5.57,6.95,5.68,4.12,,
November,8.52,4.96,8.34,5.94,1.90,6.23,2.57,1.38,5.46,2.91,,
December,13.19,6.27,6.24,13.77,11.43,7.40,10.16,5.17,4.92,5.68,,
Total,53.22,54.71,50.75,59.73,40.12,55.54,54.30,44.41,43.48,42.73,,
Calc annual,53.22,54.71,50.75,59.73,40.12,55.54,54.30,44.41,43.48,42.73,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
