"STALYBRIDGE (BRUSHES FILTER HOUSE)",,,,,,,,,,,,
Grid ref,SJ997982,Long,-2.005989,Lat,53.480522,,,,,,,
Station no,2752,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.03,4.95,2.30,4.59,3.36,5.35,3.27,4.03,3.95,6.22,,
February,3.52,1.54,3.50,3.01,1.95,1.61,2.85,5.96,0.49,3.32,,
March,5.14,2.94,2.67,2.89,2.35,1.35,3.91,2.45,2.04,0.95,,
April,3.00,4.60,2.66,1.05,2.31,3.25,0.66,1.29,3.18,2.38,,
May,1.94,2.70,2.56,3.89,4.00,1.42,1.25,3.25,1.00,1.94,,
June,1.60,3.30,4.53,3.72,2.87,3.36,2.40,5.28,2.98,2.03,,
July,4.31,4.24,7.24,7.43,1.34,6.67,5.01,5.45,3.91,7.62,,
August,5.90,3.20,5.49,7.31,0.74,11.01,5.75,4.26,0.43,6.25,,
September,3.04,4.45,2.81,5.23,2.23,2.96,8.07,4.99,0.27,3.44,,
October,1.15,4.79,2.27,8.09,2.46,3.22,5.11,3.90,3.48,4.50,,
November,7.62,3.29,4.13,5.89,1.88,1.96,2.41,1.65,4.79,5.78,,
December,6.58,4.28,1.91,6.72,5.37,5.24,4.94,3.46,5.78,4.27,,
Total,48.83,44.28,42.07,59.82,30.86,47.40,45.63,45.97,32.30,48.70,,
Calc annual,48.83,44.28,42.07,59.82,30.86,47.40,45.63,45.97,32.30,48.70,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
