"WAREHAM (BINNEGAR HALL)",,,,,,,,,,,,
Grid ref,SY884871,Long,-2.165557,Lat,50.683438,,,,,,,
Station no,1570,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.81,2.37,0.85,2.00,,,,,,,,
February,6.85,0.72,1.88,,,,,,,,,
March,4.37,2.32,0.46,,,,,,,,,
April,2.92,1.78,2.41,,,,,,,,,
May,2.78,2.59,2.92,,,,,,,,,
June,0.22,0.76,2.32,,,,,,,,,
July,1.38,0.71,3.17,,,,,,,,,
August,5.27,2.50,1.75,,,,,,,,,
September,4.35,5.08,2.67,,,,,,,,,
October,1.05,5.44,3.55,,,,,,,,,
November,9.01,4.29,1.98,,,,,,,,,
December,3.37,3.85,0.81,,,,,,,,,
Total,45.38,32.41,24.77,,,,,,,,,
Calc annual,45.38,32.41,24.77,2.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
